design,sbj,Imb,Loss,FI,PCG
BSD(3),9,1.6582,0.4036444444445032,0.19484444444444446,0.5505555555555556
BSD(3),10,1.352,0.27040000000003406,0.24118,0.56081
BSD(3),11,1.6666,0.3333090909090729,0.21925454545454545,0.5555909090909091
BSD(3),12,1.3284,0.2213999999999889,0.25653333333333334,0.56505
BSD(3),13,1.6708,0.2833230769230321,0.23679999999999998,0.5598923076923078
BSD(3),14,1.3396,0.1913714285714161,0.2678,0.5674428571428572
BSD(3),15,1.6588,0.2423466666666352,0.24994666666666665,0.5630533333333333
BSD(3),16,1.3176,0.1647,0.27549999999999997,0.569775
BSD(3),17,1.6686,0.21614117647055392,0.2592941176470588,0.5653235294117647
BSD(3),18,1.3428,0.14919999999997896,0.2820333333333333,0.5707444444444445
BSD(3),19,1.6768,0.1951157894736526,0.2671894736842105,0.5668631578947368
BSD(3),20,1.348,0.13480000000001693,0.28767,0.57174
BSD(3),21,1.6728,0.1757714285714104,0.27397142857142853,0.5681285714285715
BSD(3),22,1.3368,0.12152727272726595,0.29209999999999997,0.5726681818181819
BSD(3),23,1.6528,0.1570086956521649,0.2793999999999999,0.569808695652174
BSD(3),24,1.3228,0.11023333333332758,0.29495833333333327,0.573775
BSD(3),25,1.6656,0.14649599999997884,0.28315999999999997,0.5705680000000001
BSD(3),26,1.3464,0.10356923076923984,0.2978692307692307,0.5739923076923078
BSD(3),27,1.673,0.13674074074072834,0.286837037037037,0.5711148148148149
BSD(3),28,1.34,0.09571428571427947,0.30062857142857136,0.5745214285714286
BSD(3),29,1.6788,0.1281103448275911,0.2902620689655172,0.5719068965517241
BSD(3),30,1.3266,0.08843999999999601,0.3032133333333333,0.5753800000000001
BSD(3),31,1.667,0.11832258064514854,0.2934322580645161,0.5729774193548388
BSD(3),32,1.3404,0.083775,0.30510624999999997,0.5758000000000001
BSD(3),33,1.6578,0.11003636363634446,0.29586060606060605,0.5736878787878789
BSD(3),34,1.33,0.07823529411765112,0.30650588235294113,0.5763411764705884
BSD(3),35,1.6494,0.1027885714285848,0.2977485714285714,0.5743657142857145
BSD(3),36,1.3254,0.07363333333332303,0.30751666666666666,0.5768000000000001
BSD(3),37,1.6682,0.099264864864846,0.29920540540540536,0.5745972972972975
BSD(3),38,1.3424,0.07065263157893875,0.3089157894736842,0.5769210526315791
BSD(3),39,1.6874,0.09614358974359166,0.3009948717948718,0.5746384615384617
BSD(3),40,1.328,0.06640000000000824,0.310655,0.5772650000000001
BSD(3),41,1.6688,0.08963902439024089,0.3030780487804878,0.575268292682927
BSD(3),42,1.3414,0.06387619047618312,0.3117857142857143,0.5773738095238097
BSD(3),43,1.6768,0.08621395348836365,0.3045348837209302,0.575439534883721
BSD(3),44,1.346,0.06118181818181494,0.3129954545454545,0.577484090909091
BSD(3),45,1.6698,0.08176000000001128,0.30604,0.5758022222222223
BSD(3),46,1.3234,0.05753913043477977,0.3139478260869565,0.5779195652173914
BSD(3),47,1.6568,0.07717446808509824,0.307268085106383,0.576412765957447
BSD(3),48,1.317,0.05487499999999701,0.31455,0.5783604166666668
BSD(3),49,1.657,0.0740408163265246,0.30813061224489796,0.5767816326530614
BSD(3),50,1.3328,0.05331199999999775,0.315108,0.5784880000000001
"BCDWIT(2/3, 3)",1,1.0,1.0,0.0,0.4909
"BCDWIT(2/3, 3)",2,0.675,0.675,0.3333333333333731,0.5767
"BCDWIT(2/3, 3)",3,1.2218,0.6290666666666102,0.2972222222222503,0.5691333333333333
"BCDWIT(2/3, 3)",4,0.8216,0.4108,0.42655000000004784,0.6018749999999999
"BCDWIT(2/3, 3)",5,1.2778,0.42223999999994466,0.3960133333333703,0.5959199999999999
"BCDWIT(2/3, 3)",6,0.8484,0.28279999999999156,0.47198888888893276,0.6157166666666666
"BCDWIT(2/3, 3)",7,1.2844,0.3053714285714667,0.44496190476194114,0.6096285714285715
"BCDWIT(2/3, 3)",8,0.8556,0.2139,0.49637500000004187,0.622725
"BCDWIT(2/3, 3)",9,1.291,0.24044444444445298,0.4729111111111473,0.6165777777777778
"BCDWIT(2/3, 3)",10,0.8436,0.16872000000001097,0.5116866666667066,0.62729
"BCDWIT(2/3, 3)",11,1.2838,0.19410909090905965,0.4907333333333689,0.6226090909090909
"BCDWIT(2/3, 3)",12,0.8476,0.14126666666666246,0.52116111111115,0.6305666666666666
"BCDWIT(2/3, 3)",13,1.2884,0.16566153846154827,0.5028051282051635,0.6253923076923077
"BCDWIT(2/3, 3)",14,0.8514,0.1216285714285748,0.5282428571428955,0.6320428571428571
"BCDWIT(2/3, 3)",15,1.2744,0.13983999999999977,0.511946666666702,0.6280533333333334
"BCDWIT(2/3, 3)",16,0.8422,0.105275,0.5330500000000384,0.63355625
"BCDWIT(2/3, 3)",17,1.2824,0.12527058823526516,0.5182078431372906,0.6295705882352941
"BCDWIT(2/3, 3)",18,0.8422,0.09357777777776939,0.5369148148148528,0.6346
"BCDWIT(2/3, 3)",19,1.2838,0.11237894736842348,0.5234315789474039,0.6316631578947368
"BCDWIT(2/3, 3)",20,0.8578,0.08578000000000581,0.540053333333371,0.6357299999999999
"BCDWIT(2/3, 3)",21,1.2854,0.10198095238094605,0.5279523809524164,0.6326047619047619
"BCDWIT(2/3, 3)",22,0.8624,0.07839999999999352,0.5429060606060979,0.636190909090909
"BCDWIT(2/3, 3)",23,1.301,0.0958260869565438,0.5318000000000352,0.6334565217391304
"BCDWIT(2/3, 3)",24,0.8674,0.07228333333333085,0.5457805555555922,0.6369291666666665
"BCDWIT(2/3, 3)",25,1.2902,0.08643199999999394,0.5355146666667014,0.6344519999999999
"BCDWIT(2/3, 3)",26,0.856,0.06584615384615433,0.5480000000000362,0.637630769230769
"BCDWIT(2/3, 3)",27,1.2818,0.07878518518518786,0.5382716049383062,0.6352777777777776
"BCDWIT(2/3, 3)",28,0.8554,0.061100000000001625,0.5495666666667028,0.6380607142857142
"BCDWIT(2/3, 3)",29,1.29,0.07448275862069391,0.5404482758621035,0.6354620689655172
"BCDWIT(2/3, 3)",30,0.8514,0.056759999999997805,0.5511000000000359,0.6382566666666666
"BCDWIT(2/3, 3)",31,1.2832,0.06880000000000158,0.5424774193548733,0.636216129032258
"BCDWIT(2/3, 3)",32,0.8558,0.0534875,0.552258333333369,0.6386374999999999
"BCDWIT(2/3, 3)",33,1.2884,0.06526060606059031,0.5441676767677112,0.6366999999999998
"BCDWIT(2/3, 3)",34,0.865,0.050882352941178974,0.553425490196114,0.6389058823529411
"BCDWIT(2/3, 3)",35,1.2834,0.060960000000001686,0.5458514285714628,0.63684
"BCDWIT(2/3, 3)",36,0.8584,0.04768888888888449,0.5544555555555911,0.6389416666666665
"BCDWIT(2/3, 3)",37,1.2762,0.05688648648648417,0.547203603603638,0.637035135135135
"BCDWIT(2/3, 3)",38,0.8478,0.04462105263158011,0.5551929824561759,0.6390657894736842
"BCDWIT(2/3, 3)",39,1.2802,0.05437948717949423,0.5482034188034531,0.6373358974358974
"BCDWIT(2/3, 3)",40,0.8654,0.04327000000000299,0.5558350000000354,0.6390874999999999
"BCDWIT(2/3, 3)",41,1.2906,0.05274146341462831,0.5493138211382457,0.637390243902439
"BCDWIT(2/3, 3)",42,0.8636,0.041123809523807335,0.5567206349206703,0.6392023809523809
"BCDWIT(2/3, 3)",43,1.292,0.05041860465115983,0.5504682170542978,0.6375372093023255
"BCDWIT(2/3, 3)",44,0.8594,0.039063636363633164,0.5575333333333684,0.6393272727272726
"BCDWIT(2/3, 3)",45,1.2926,0.048231111111115436,0.5515096296296638,0.6377666666666666
"BCDWIT(2/3, 3)",46,0.849,0.036913043478259196,0.5582536231884409,0.6395934782608695
"BCDWIT(2/3, 3)",47,1.2792,0.04503829787233773,0.5523971631206015,0.6382106382978723
"BCDWIT(2/3, 3)",48,0.8618,0.03590833333333215,0.5586555555555907,0.6396791666666667
"BCDWIT(2/3, 3)",49,1.291,0.044163265306119574,0.5531170068027553,0.638208163265306
"BCDWIT(2/3, 3)",50,0.8638,0.03455199999999998,0.5592680000000351,0.639716
EBCD(2/3),1,1.0,1.0,0.0,0.4966
EBCD(2/3),2,0.664,0.664,0.3333333333333731,0.5823
